,Center Name,District,District ID
48,NALLAMADA SACHIVALYAM - 1,Anantapur,9
49,NIMBAGAL SACHIVALYAM,Anantapur,9
50,OLD MUNICIPAL OFFICE,Anantapur,9
51,P BYADAGIRI SACHIVALYAM,Anantapur,9
52,P KOTTALAPALLI SACHIVALYAM,Anantapur,9
53,PAMUDARTHY PHC,Anantapur,9
54,PANCHAYAT OFFICE BK SAMUDRAM,Anantapur,9
55,PARIGI PHC,Anantapur,9
56,PATHAKOTHA CHERUVU BC HOSTEL,Anantapur,9
57,PEDABALLI SACHIVALYAM,Anantapur,9
58,PHC KOTHACHERUVU,Anantapur,9
59,PHC YELLANUR,Anantapur,9
60,RDT COMMUNITY HALL,Anantapur,9
61,ROLLA PHC,Anantapur,9
62,ROOM 15 PP UNIT,Anantapur,9
63,RTC-3 WARD SACHIVALAYAM,Anantapur,9
64,SHADIKHANAA OPP RTC BUS STAND,Anantapur,9
65,SOCIAL WELFARE BOYS HOSTEL,Anantapur,9
66,SOMANDEPALLI PHC,Anantapur,9
67,SUB CENTRE LEPAKSHI,Anantapur,9
68,SUB CENTRE VAJRAKARUR,Anantapur,9
69,UPADYA BHAVAN MADAKASIRA,Anantapur,9
70,VANNEDODDI SACHIVALYAM,Anantapur,9
71,VELUGU OFFICE AMADAGUR,Anantapur,9
72,YADIKI PHC,Anantapur,9
73,BAIREDDYPALLI PHC CVC,Chittoor,10
74,GANGADHARNELLOREPHC 2NDDOSECVC,Chittoor,10
75,KAJOOR EUPHC 2 DOSE CVC,Chittoor,10
76,KAMMAPALLI PHC 2ND DOSE CVC,Chittoor,10
77,KOLAMASANAPALLI PHC CVC,Chittoor,10
78,KVB PURAM PHC 2ND DOSE CVC,Chittoor,10
79,MADANAPALLE PP UNIT2ND DOSECVC,Chittoor,10
80,MGM HOSPITALS CVC-SRIKALAHASTI,Chittoor,10
81,MUDIPAPANAPALLI PHC 2DOSECVC,Chittoor,10
82,NAGALAPURAM PHC 2ND DOSE CVC,Chittoor,10
83,NIMMANAPALLI PHC 2ND DOSE CVC,Chittoor,10
84,PALAMANERU EUPHC CVC,Chittoor,10
85,PEDDATIPPASAMUDRAMPHC2DDOSECVC,Chittoor,10
86,PUTHALAPATTU PHC 2ND DOSE CVC,Chittoor,10
87,PUTTURU CHC 2 DOSE CVC,Chittoor,10
88,SATYANARAYANAPURAMEUPHC 2 DOSE,Chittoor,10
89,SRIKALAHASTI AH CVC,Chittoor,10
90,T CHAVATAPALLI EUPHC 2 DOSECVC,Chittoor,10
91,VARADAIAHPALEM 2ND DOSE PHC,Chittoor,10
92,VIJALAPURAM PHC CVC,Chittoor,10
93,GCVC - AMRUTHALURU PHC,Guntur,5
94,GCVC - APPIKATLA PHC,Guntur,5
95,GCVC - ATCHAMPET PHC,Guntur,5
96,GCVC - ATTALURU PHC,Guntur,5
97,GCVC - BARAMPETA UPHC-2ND DOSE,Guntur,5
98,GCVC - BHATTIPROLU PHC,Guntur,5
99,GCVC - BOLLAPALLI PHC-2ND DOSE,Guntur,5
100,GCVC - BONGALARABEEDU UPHC-2ND,Guntur,5
101,GCVC - CHANDOLU PHC,Guntur,5
102,GCVC - CHANDRAJUPALEM PHC,Guntur,5
103,GCVC - CHEBROLU PHC,Guntur,5
104,GCVC - CHINAMATLAPUDI PHC,Guntur,5
105,GCVC - DACHEPALLI PHC-2ND DOSE,Guntur,5
106,GCVC - DUGGIRALA PHC,Guntur,5
107,GCVC - DURGI PHC-2ND DOSE ONLY,Guntur,5
108,GCVC - EDLAPADU PHC,Guntur,5
109,GCVC - ENUGUPALEM PHC,Guntur,5
110,GCVC - GGH NATCO BUILDING,Guntur,5
111,GCVC - KAKUMANU PHC,Guntur,5
112,GCVC - KAREMPUDI PHC-2ND DOSE,Guntur,5
113,GCVC - KARLAPALEM PHC,Guntur,5
114,GCVC - KAVURU CPT PHC-2ND DOSE,Guntur,5
115,GCVC - KAVURU PHC,Guntur,5
116,GCVC - KHAMBAMPADU PHC-2NDDOSE,Guntur,5
117,GCVC - KOLAKALURU PHC,Guntur,5
118,GCVC - KOLLURU PHC,Guntur,5
119,GCVC - KOPPURAO COLONY UPHC-2N,Guntur,5
120,GCVC - KOTAPPAKONDA PHC-2NDDOS,Guntur,5
121,GCVC - KROSURU PHC,Guntur,5
122,GCVC - KUCHINAPUDI PHC,Guntur,5
123,GCVC - KVP COLONY UPHC-2NDDOSE,Guntur,5
124,GCVC - L B NAGAR UPHC-2ND DOSE,Guntur,5
125,GCVC - LANCHESTER ROAD UPHC-2N,Guntur,5
126,GCVC - MACHAVARAM PHC-2ND DOSE,Guntur,5
127,GCVC - MALLIKARJUNAPETA EUPHC2,Guntur,5
128,GCVC - MANGALAGIRI GH,Guntur,5
129,GCVC - MANGALDASUNAGAR UPHC2ND,Guntur,5
130,GCVC - MANNAVA PHC,Guntur,5
131,GCVC - MEDIKONDURU PHC,Guntur,5
132,GCVC - MOLLAGUNTA PHC,Guntur,5
133,GCVC - MUNNANGI PHC,Guntur,5
134,GCVC - MUPPALLA A PHC-2ND DOSE,Guntur,5
135,GCVC - MUPPALLA PHC,Guntur,5
136,GCVC - NADENDLA PHC-2ND DOSE,Guntur,5
137,GCVC - NEKARIKALLU PHC,Guntur,5
138,GCVC - NGO COLONY UPHC-2NDDOSE,Guntur,5
139,GCVC - NUDURUPADU PHC-2ND DOSE,Guntur,5
140,GCVC - NUTHAKKI PHC,Guntur,5
141,GCVC - NUZENDLA PHC,Guntur,5
142,GCVC - OLD TOWN UPHC-2ND DOSE,Guntur,5
143,GCVC - PANIDAM PHC-2ND DOSEONL,Guntur,5
144,GCVC - PEDAKAKANI PHC-2ND DOSE,Guntur,5
145,GCVC - PEDANANDIPADU PHC-2NDDO,Guntur,5
146,GCVC - PEDAPALAKALURU PHC,Guntur,5
147,GCVC - PEDAVADLAPUDI PHC,Guntur,5
148,GCVC - PIDUGURALLA PHC-2NDDOSE,Guntur,5
149,GCVC - PIDUGURALLA UPHC-2NDDOS,Guntur,5
150,GCVC - RAJAKAPET UPHC-2ND DOSE,Guntur,5
151,GCVC - RAJUPALEM PHC-2ND DOSE,Guntur,5
152,GCVC - RENTACHINTHALA PHC,Guntur,5
153,GCVC - RMS COLONY UPHC-2NDDOSE,Guntur,5
154,GCVC - ROMPICHERLA PHC,Guntur,5
155,GCVC - SALIPET UPHC,Guntur,5
156,GCVC - SANGAMJAGARLAMUDI PHC,Guntur,5
157,GCVC - SANJAY GANDHINAGAR UPHC,Guntur,5
158,GCVC - SAVALYAPRAM PHC,Guntur,5
159,GCVC - SHALIMNAGAR UPHC-2NDDOS,Guntur,5
160,GCVC - SRINIVASARAO THOTA UPHC,Guntur,5
161,GCVC - TADEPALLI PHC-2ND DOSE,Guntur,5
162,GCVC - THULLURU PHC-2ND DOSE,Guntur,5
163,GCVC - TSUNDURU PHC,Guntur,5
164,GCVC - TUFFANNAGAR UPHC-2NDDOS,Guntur,5
165,GCVC - UPPALAPADU PHC-2ND DOSE,Guntur,5
166,GCVC - VATTICHERUKURU PHC-2ND,Guntur,5
167,AMBEDKARNAGARE-GDET-2-DOSE,Krishna,4
168,BAPTISTPALEM-KSRSCHOOL-2-DOSE,Krishna,4
169,DURGAPURAMEUPHC,Krishna,4
170,GGH-AKTPM SCHOOL-2ND DOSE,Krishna,4
171,GUDIVADAPPUMONTESORISCH2NDDOSE,Krishna,4
172,GUNADALA-BISHOPGRASI-2-DOSE,Krishna,4
173,IBRAHIMPATNAMPHCCVC2NDOSE,Krishna,4
174,KARAKATTA-MLC MC SCHOOL-2-DOSE,Krishna,4
175,LABBIPET CVC COVAXIN,Krishna,4
176,MACHILIPATNAMDHMFHFR2NDDOSECVC,Krishna,4
177,MADHURANAGAR-SADGATHI-2-DOSE,Krishna,4
178,MPUP DIGAVALLIPHC-CVC-2ND DOSE,Krishna,4
179,MTMPPU TTD KAL MAN2ND DOSE-CVC,Krishna,4
180,PAMARRU PHCZPHS2ND DOSE-CVC,Krishna,4
181,PENAMALURUZPHSCVC 2ND DOSE,Krishna,4
182,RAJEEVNAGARUFWC-2ND DOSE,Krishna,4
183,VATSAVAI PHC-CVC 2ND DOSE,Krishna,4
184,ZPHSCHANDRALAPADU-2ND DOSE,Krishna,4
185,ZPHSHIGHSCHOOLJPTPPU,Krishna,4
186,ZPS AGIRIPALLIPHC-CVC-2ND DOSE,Krishna,4
187,ZPS KATURU PHC-CVC-2ND DOSE,Krishna,4
188,ZPS MUSTABADA CVC-PHC-2ND DOSE,Krishna,4
189,ZPS TIRUVURU PPU-CVC-2ND DOSE,Krishna,4
190,ADONI PPU,Kurnool,7
191,APSP BATALLION 2,Kurnool,7
192,ASPARI PHC,Kurnool,7
193,ASPARI PHC COVAXINE,Kurnool,7
194,CHC DHONE,Kurnool,7
195,CHC SUNNIPENTA,Kurnool,7
196,CHC YEMMIGANUR,Kurnool,7
197,NANDYAL PPU,Kurnool,7
198,NARASAPURAM PHC,Kurnool,7
199,PHC BANDIATMAKUR,Kurnool,7
200,PHC BRAMHANAKOTKUR,Kurnool,7
201,PHC CBELAGAL,Kurnool,7
202,PHC CHAGALAMARRI,Kurnool,7
203,PHC CHAPIREVULA-COVAXIN,Kurnool,7
204,PHC CHAPIREVULLA,Kurnool,7
205,PHC CHINNAMALKAPURAM,Kurnool,7
206,PHC CHIPPAGIRI1,Kurnool,7
207,PHC DAIVAMDINNE,Kurnool,7
208,PHC DEVANAKONDA,Kurnool,7
209,PHC DORNIPADU,Kurnool,7
210,PHC E THANDRAPADU,Kurnool,7
211,PHC GADIVEMULA,Kurnool,7
212,PHC GARGEYAPURAM,Kurnool,7
213,PHC GONEGANDLA,Kurnool,7
214,PHC GOSPADU,Kurnool,7
215,PHC GUDUR,Kurnool,7
216,PHC HALAHARVI ALUR,Kurnool,7
217,PHC HOLAGUNDA,Kurnool,7
218,PHC JILLELA -COVAXIN,Kurnool,7
219,PHC JUPADU BUNGLOW,Kurnool,7
220,PHC KADUMURU,Kurnool,7
221,PHC KALLUDEVAKUNTLA,Kurnool,7
222,PHC KALLUR,Kurnool,7
223,PHC KAMMARACHEDU,Kurnool,7
224,PHC KOLIMIGUNDLA,Kurnool,7
225,PHC KOSIGI,Kurnool,7
226,PHC KOTHAPALLI,Kurnool,7
227,PHC KOTTALCHERUVU,Kurnool,7
228,PHC KOTTALCHERUVU-COVAXIN,Kurnool,7
229,PHC KOWTHALAM,Kurnool,7
230,PHC KRISHNAGIRI,Kurnool,7
231,PHC LADDAGIRI,Kurnool,7
232,PHC MADDIKERA,Kurnool,7
233,PHC MADDUR - COVAXIN,Kurnool,7
234,PHC MADDUR 1,Kurnool,7
235,PHC NANDAVARAM,Kurnool,7
236,PHC NANNUR,Kurnool,7
237,PHC NARAYANAPURAM COVAXIN,Kurnool,7
238,PHC PAGIDYALA,Kurnool,7
239,PHC PALUKUR,Kurnool,7
240,PHC PAMULAPADU,Kurnool,7
241,PHC PEAPULLY,Kurnool,7
242,PHC PEAPULLY COVAX,Kurnool,7
243,PHC PEDDAKADUBUR,Kurnool,7
244,PHC PEDDATHUBALAM,Kurnool,7
245,PHC PUCHAKAYALA MADA,Kurnool,7
246,PHC R S RANGAPURAM,Kurnool,7
247,PHC REVANUR,Kurnool,7
248,PHC RUDRAVARAM,Kurnool,7
249,PHC SANJAMALA,Kurnool,7
250,PHC SIRIVELLA,Kurnool,7
251,PHC SRISAILAM,Kurnool,7
252,PHC THIMMAPURAM,Kurnool,7
253,PHC TUGGALI,Kurnool,7
254,PHC ULINDAKONDA,Kurnool,7
255,PHC UPPALAPADU OWK,Kurnool,7
256,PHC UYYALAWADA,Kurnool,7
257,PHC VELGODE,Kurnool,7
258,PHC W KOTHAPALLI-COVAXIN,Kurnool,7
259,PHC YERRAGUNTLA COVAXIN,Kurnool,7
260,ROJA 1 EUPHC,Kurnool,7
261,THOMANDRU STREET-ALLAGADDA,Kurnool,7
262,UPHC ARUNDATI NAGAR,Kurnool,7
263,UPHC ATMAKURBUSSTAND COVAXIN,Kurnool,7
264,UPHC BANDIMETTA COVAXIN,Kurnool,7
265,UPHC DEVANAGAR NANDYAL-COVAXIN,Kurnool,7
266,UPHC GADDASTREET,Kurnool,7
267,UPHC HANUMAN NAGAR,Kurnool,7
268,UPHC HARIJANAWADA NDL,Kurnool,7
269,UPHC ILLUR NAGAR,Kurnool,7
270,UPHC INDRA NAGAR ADONI,Kurnool,7
271,UPHC JOHARAPURAM 2 COVAXIN,Kurnool,7
272,UPHC JOHARAPURAM1,Kurnool,7
273,UPHC MS NAGAR COVAXIN,Kurnool,7
274,UPHC NTR COLONY,Kurnool,7
275,UPHC ROJA 2 COVAXIN,Kurnool,7
276,UPHC SAIBABA PETA 1,Kurnool,7
277,UPHC SANJEEVAIAH NAGAR,Kurnool,7
278,UPHC SHANKAR NAGAR ADONI,Kurnool,7
279,UPHC SHAREENNAGAR COVAXIN,Kurnool,7
280,UPHC SRI RAMNAGAR,Kurnool,7
281,UPHC VADLAPETTA-1,Kurnool,7
282,UPHC WEAKER SECTION COVAXIN,Kurnool,7
283,ANUMALAVEEDU-CVC-PHC,Prakasam,12
284,ARDHAVEEDU-PHC-CVC,Prakasam,12
285,BANDLAMUDI-CVC-PHC,Prakasam,12
286,BESTAWARIPETA-CVC-PHC,Prakasam,12
287,BOTLAGUDURU 2-PHC-CVC,Prakasam,12
288,BOTLAGUDURU-PHC-CVC,Prakasam,12
289,C S PURAM 2-CVC-PHC,Prakasam,12
290,C S PURAM-CVC-PHC,Prakasam,12
291,CHANDALUR 2-PHC-CVC-,Prakasam,12
292,CHANDALUR-CVC-PHC,Prakasam,12
293,CHERUKUR-PHC-CVC,Prakasam,12
294,CHERUKURU2-PHC-CVC,Prakasam,12
295,CHINAGANJAM-PHC-CVC,Prakasam,12
296,CHINTHALA-CVC-GOVT-PHC,Prakasam,12
297,DONAKONDA-CVC-PHC,Prakasam,12
298,DRONADULA-CVC-PHC,Prakasam,12
299,GUDLURU-PHC-CVC,Prakasam,12
300,GUNTUPALLI-CVC-GOVT-COSHD,Prakasam,12
301,GURAVAJIPETA-CVC-GOVT-COVAXIN,Prakasam,12
302,GURAVAJIPETA-CVC-PHC,Prakasam,12
303,H M PADU 2-CVC-GOVT-COVAXIN,Prakasam,12
304,H M PADU-CVC-PHC,Prakasam,12
305,INKOLLU-CVC-PHC,Prakasam,12
306,INKOLLU2-CVC-,Prakasam,12
307,J PANGULUR-PHC-CVC,Prakasam,12
308,KARAMCHEDU-CVC-PHC,Prakasam,12
309,KARAMCHEDU2-PHC-CVC,Prakasam,12
310,KARAVADI PHC-CVC,Prakasam,12
311,KAREDU-CVC-GOVT-COVAXIN,Prakasam,12
312,KAREDU-CVC-PHC,Prakasam,12
313,KOMAROLU-CVC-PHC,Prakasam,12
314,KONAKANAMITLA-PHC-CVC,Prakasam,12
315,KOTHAPATNAM-PHC-CVC,Prakasam,12
316,KS PALLI-CVC-PHC,Prakasam,12
317,KURICHEDU 2-CVC-GOVT-COVAXIN,Prakasam,12
318,KURICHEDU-CVC-PHC,Prakasam,12
319,LINGASAMUDRAM-CVC-PHC,Prakasam,12
320,MACHAVARAM 2-KDK-CVC- COVAXIN,Prakasam,12
321,MACHAVARAM-KDK-CVC-GOVT-COSHD,Prakasam,12
322,MADDIPADU PHC -CVC,Prakasam,12
323,MARRIPUDI 2-PHC-CVC,Prakasam,12
324,MARRIPUDI-CVC-PHC,Prakasam,12
325,MEDARAMETLA-CVC-PHC,Prakasam,12
326,MM DONKA -UPHC GOVT-COVAXIN,Prakasam,12
327,MODEPALLI 2 -CVC-GOVT-COVAXIN,Prakasam,12
328,MODEPALLI-CVC-PHC,Prakasam,12
329,MUNDLAMUR 2-CVC-GOVT-COVAXIN,Prakasam,12
330,MUNDLAMUR-CVC-PHC,Prakasam,12
331,N G PADU PHC,Prakasam,12
332,PAPACLONY 2-CVC-UPHC,Prakasam,12
333,PC PALL 2 -CVC-PHC,Prakasam,12
334,PC PALLI-CVC-PHC,Prakasam,12
335,PEDA ARAVEEDU-CVC-PHC,Prakasam,12
336,PETLURU-PHC-CVC,Prakasam,12
337,POLICEWELFARE CLINIC-CVC-GOVT,Prakasam,12
338,PONNALUR-2-CVC-PHC,Prakasam,12
339,PONNALUR-PHC-CVC,Prakasam,12
340,PPU 2 CHIRALA-COVAXIN,Prakasam,12
341,PPU CHIRALA-CVC-PHC,Prakasam,12
342,PPU ONGOLE-CVC-,Prakasam,12
343,PPU UNIT2-CVC-GOVT-COVAXIN,Prakasam,12
344,PULLALACHERUVU-CVC-PHC,Prakasam,12
345,PULLALACHERVU2 PHC-CVC,Prakasam,12
346,S W COLONY 2UPHC-CVC-,Prakasam,12
347,S W COLONY UPHC-CVC-PHC,Prakasam,12
348,SANTHAMAGULURU-CVC-PHC,Prakasam,12
349,SINGARAYAKONDA-CVC-GOVT-COVAXI,Prakasam,12
350,SINGARAYAKONDA-PHC-CVC,Prakasam,12
351,SN PADU-CVC-PHC,Prakasam,12
352,SR NAGAR-CVC-GOVT-COVAXIN,Prakasam,12
353,SR NAGAR-CVC-UPHC,Prakasam,12
354,TANGUTUR-CVC-PHC,Prakasam,12
355,TARLUPADU-PHC-CVC,Prakasam,12
356,THALLUR-CVC-PHC,Prakasam,12
357,THALLUR2-PHC-CVC-,Prakasam,12
358,THURIMELLA-PHC-CVC,Prakasam,12
359,TRIPURANTHAKAM-CVC-PHC,Prakasam,12
360,UPHC BALAJI-CVC-GOVT-COVAXIN,Prakasam,12
361,UPHC BALAJI-CVC-PHC,Prakasam,12
362,UPHC M M DONKA-CVC-PHC,Prakasam,12
363,UPHC MARIYAMPET-CVC-,Prakasam,12
364,UPHC PAPACOLONY-CVC-PHC,Prakasam,12
365,UPHC V COLONY-CVC-PHC,Prakasam,12
366,UPPALAPADU-CVC-COVAXIN,Prakasam,12
367,UPPALAPADU-CVC-PHC,Prakasam,12
368,V V PALEM-2CVC-PHC,Prakasam,12
369,V V PALEM-PHC-CVC,Prakasam,12
370,VELIGANDLA 2-CVC-COVAX,Prakasam,12
371,VELIGANDLA-PHC-CVC,Prakasam,12
372,VENKATADRIPALEM-PHC-CVC,Prakasam,12
373,VETAPALEM-CVC-PHC,Prakasam,12
374,VETAPALEM2-CVC-PHC,Prakasam,12
375,VYKUNTAPURAM-CVC-PHC,Prakasam,12
376,YEDDANA PUDI-CVC-PHC,Prakasam,12
377,ZARUGUMALLI-CVC-PHC,Prakasam,12
378,ACSR GGH NELLORE CVC 2ND DOSE,Sri Potti Sriramulu Nellore,13
379,BC BOYS HOSTEL DAKILI 2ND DOSE,Sri Potti Sriramulu Nellore,13
380,BC HOSTEL 2ND DOSE CHITTAMURU,Sri Potti Sriramulu Nellore,13
381,COMMUNITY HALL JAGADEVIPETA,Sri Potti Sriramulu Nellore,13
382,CSM MUNICIPAL ELE SCHOOL,Sri Potti Sriramulu Nellore,13
383,DLNR COLLEGE 2ND DOSE,Sri Potti Sriramulu Nellore,13
384,GOVERNMENT JR COLLEGE RAPUR,Sri Potti Sriramulu Nellore,13
385,GOVT JR COLLEGE PODALAKUR,Sri Potti Sriramulu Nellore,13
386,GOVT JR COLLEGE VENKATACHALAM,Sri Potti Sriramulu Nellore,13
387,GOVT JUNIOR COLLEGE KONDAPURAM,Sri Potti Sriramulu Nellore,13
388,GOVT. JUNIOR COLLEGE 2ND DOSE,Sri Potti Sriramulu Nellore,13
389,GOVT. JUNIOR COLLEGE NAIDUPETA,Sri Potti Sriramulu Nellore,13
390,GVR INTER COLLEGE 2ND DOSE,Sri Potti Sriramulu Nellore,13
391,JAWAHAR BHARATHI DEGRE COLLEGE,Sri Potti Sriramulu Nellore,13
392,JAWAHAR BHARATHI JR COLLEGE,Sri Potti Sriramulu Nellore,13
393,JUNIOR COLLEGE DAGADARTHI,Sri Potti Sriramulu Nellore,13
394,JUNIOR COLLEGE TP GUDURU,Sri Potti Sriramulu Nellore,13
395,KARNALMITTA HIGH SCHOOL,Sri Potti Sriramulu Nellore,13
396,M.P ELE SCHOOL AFGAN STREET,Sri Potti Sriramulu Nellore,13
397,M.P ELE. SCHOOL 2ND DOSE,Sri Potti Sriramulu Nellore,13
398,MCP MUNICIPAL SCHOOL DARGAMITA,Sri Potti Sriramulu Nellore,13
399,MEETING HALL 2ND DOSE,Sri Potti Sriramulu Nellore,13
400,MP ELE. SCHOOL SECOND DOSE,Sri Potti Sriramulu Nellore,13
401,MPDO OFFICE KALIGIRI,Sri Potti Sriramulu Nellore,13
402,MPDO OFFICE MEETING HALL,Sri Potti Sriramulu Nellore,13
403,MPDO OFFICE VARIKUNTAPADU,Sri Potti Sriramulu Nellore,13
404,MPES SCHOOL CHILLAKUR 2ND DOSE,Sri Potti Sriramulu Nellore,13
405,MPP BOARDS SCHOOL 2ND DOSE,Sri Potti Sriramulu Nellore,13
406,MPP ELE SCHOOL KOVURUPALLI,Sri Potti Sriramulu Nellore,13
407,MPP ELE. SCHOOL L.A SAGARAM,Sri Potti Sriramulu Nellore,13
408,MPP SCHOOL 2ND DOSE,Sri Potti Sriramulu Nellore,13
409,MPP SCHOOL 2ND DOSE CHITTEDU,Sri Potti Sriramulu Nellore,13
410,MPP SCHOOL CHEJERLA 2ND DOSE,Sri Potti Sriramulu Nellore,13
411,MPP SCHOOL CHENNUR 2ND DOSE,Sri Potti Sriramulu Nellore,13
412,MPP SCHOOL GANGAMITTA 2ND DOSE,Sri Potti Sriramulu Nellore,13
413,MPP SCHOOL KALUVOYA 2ND DOSE,Sri Potti Sriramulu Nellore,13
414,MPP SCHOOL KOTHUR 2ND DOSE,Sri Potti Sriramulu Nellore,13
415,MPP SCHOOL MARRIPADU 2ND DOSE,Sri Potti Sriramulu Nellore,13
416,MPP SCHOOL ST COLONY 2ND DOSE,Sri Potti Sriramulu Nellore,13
417,MPP SCHOOL UDAYAGIRI 2ND DOSE,Sri Potti Sriramulu Nellore,13
418,MPP URDU SCHOOL 2ND DOSE,Sri Potti Sriramulu Nellore,13
419,MPPS KOTA VEEDHI 2ND DOSE,Sri Potti Sriramulu Nellore,13
420,MPPS SCHOOL 2ND DOSE SYDAPURAM,Sri Potti Sriramulu Nellore,13
421,MPPS SCHOOL BALAYAPALLI,Sri Potti Sriramulu Nellore,13
422,MPPS SCHOOL CHINTHAGUNTA,Sri Potti Sriramulu Nellore,13
423,MPPS SCHOOL GANDHI STREET,Sri Potti Sriramulu Nellore,13
424,MPPS SCHOOL NTR COLONY,Sri Potti Sriramulu Nellore,13
425,MPUP SCHOOL JALADANKI 2ND DOSE,Sri Potti Sriramulu Nellore,13
426,MSM SCHOOL (NTR NAGAR EUPHC),Sri Potti Sriramulu Nellore,13
427,MUNICIPAL ELE SCHOOL 2ND DOSE,Sri Potti Sriramulu Nellore,13
428,MUNICIPAL HIGH SCHOOL (JNR),Sri Potti Sriramulu Nellore,13
429,MUNICIPAL HIGH SCHOOL 2ND DOSE,Sri Potti Sriramulu Nellore,13
430,POLICE STATION BUILDING,Sri Potti Sriramulu Nellore,13
431,PRR AND VS GOVT DEGREE COLLEGE,Sri Potti Sriramulu Nellore,13
432,R K JUNIOR COLLEGE ALLUR,Sri Potti Sriramulu Nellore,13
433,SRI CHAITANYA COLLEGE,Sri Potti Sriramulu Nellore,13
434,SRI SAI JUNIOR COLLEGE KAVALI,Sri Potti Sriramulu Nellore,13
435,TNC COLLEGE KOVUR,Sri Potti Sriramulu Nellore,13
436,VELUGU OFFICE (DRDA) 2ND DOSE,Sri Potti Sriramulu Nellore,13
437,VELUGU OFFICE MANUBOLU,Sri Potti Sriramulu Nellore,13
438,YVM HIGH SCHOOL 2ND DOSE,Sri Potti Sriramulu Nellore,13
439,Z.P HIGH SCHOOL OZILI,Sri Potti Sriramulu Nellore,13
440,ZPHS ALLIPURAM 2ND DOSE,Sri Potti Sriramulu Nellore,13
441,ZPHS KODAVALUR,Sri Potti Sriramulu Nellore,13
442,ADIVARAMPETA CVC 2ND DOSE ONLY,Srikakulam,14
443,BURMACOLONY CVC 2ND DOSE ONLY,Srikakulam,14
444,IJ NAIDUCOLONYCVC 2NDDOSE ONLY,Srikakulam,14
445,PATHARLAPALLI CVC 2NDDOSE ONLY,Srikakulam,14
446,ANANTHAGIRI PHC 2ND DOSE CVC,Visakhapatnam,8
447,ARILOVA FRU 2ND DOSE CVC,Visakhapatnam,8
448,ATCHUTAPURAM PHC CVC 2ND DOSE,Visakhapatnam,8
449,BHEEMUNIPATNAM CHC,Visakhapatnam,8
450,CHEEDIKADA PHC 2ND DOSE CVC,Visakhapatnam,8
451,CHINNAWALTHAIR MAK 2ND DOSE,Visakhapatnam,8
452,CHINNAWALTHAIR MAK CVC SITE 1,Visakhapatnam,8
453,DISTRICT RAILWAY HOSPITAL CVC,Visakhapatnam,8
454,GODICHERLA PHC 2ND DOSE CVC,Visakhapatnam,8
455,GUDEM KOTHA VEEDHI 2ND DOSEPHC,Visakhapatnam,8
456,K J PURAM PHC 2ND DOSECVC,Visakhapatnam,8
457,KD PETA PHC 2ND DOSE CVC,Visakhapatnam,8
458,KGH SUPER SPECIALITY WARD 5,Visakhapatnam,8
459,KV PURAM PHC 2ND DOSE CVC,Visakhapatnam,8
